Scheme Name,Scheme Code
HSBC Medium to Long Duration Fund - Regular Quarterly IDCW,101686
Tata Medium Term Fund -Regular Plan - Growth Option,101703
ICICI Prudential BSE Sensex ETF,101705
ICICI Prudential Multicap Fund - IDCW,101706
Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option,101714
Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,101737
Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,101738
Tata S&P BSE Sensex Index Fund -Regular Plan,101746
ICICI Prudential Liquid Fund - Institutional - Daily - Div,101748
ICICI Prudential Liquid Fund Retail Growth,101750
ICICI Prudential Liquid Institutional Fund - Growth,101751
ICICI Prudential Liquid Fund Retail Weekly Dividend,101752
ICICI Prudential Liquid Fund - Institutional - Weekly - Div,101753
ICICI Prudential Liquid Fund Retail Daily Dividend,101754
ICICI Prudential Liquid Fund Retail Monthly Dividend,101755
ICICI Prudential Short Term Fund - Growth Option,101758
ICICI Prudential Short Term Fund - Reinvestment of IDCW Fortnightly,101759
HDFC Flexi Cap Fund - Growth Plan,101762
HDFC Flexi Cap Fund - IDCW Plan,101763
HDFC Value Fund - Growth Plan,101764
HDFC Value Fund - IDCW Plan,101765
Tata Infrastructure Fund-Regular Plan- Growth Option,101766
ICICI Prudential Floating Interest Fund Plan B - Growth,101793
ICICI Prudential Floating Interest Fund Plan B - Fortnightly Dividend,101794
ICICI Prudential Floating Interest Fund Plan A - Growth,101795
ICICI Prudential Floating Interest Fund Plan A - Fortnightly Dividend,101796
ICICI Prudential Savings Fund Plan C - Growth,101797
ICICI Prudential Floating Interest Fund Plan C - Fortnightly Dividend,101798
ICICI Prudential Floating Interest Fund Plan B - Dividend Daily,101799
ICICI Prudential Floating Interest Fund Plan A - Dividend Daily,101800
ICICI Prudential Floating Interest Fund Plan C - Dividend Daily,101801
ICICI Prudential Floating Interest Fund - Growth,101802
ICICI Prudential Floating Interest Fund - Fortnightly IDCW,101803
ICICI Prudential Floating Interest Fund - Daily IDCW,101804
JM Dynamic Bond Fund (Regular) - IDCW,101805
JM Dynamic Bond Fund (Regular) - Growth Option,101806
JM Dynamic Bond Fund (Regular)- Premium Plan IDCW,101807
JM Dynamic Bond Fund - Premium Plan - Growth Option,101808
Aditya Birla Sun Life Regular Savings Fund - REGULAR - MONTHLY IDCW,101816
Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,101818
Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option,101823
Tata Large & Mid Cap Fund- Regular Plan - Growth Option,101824
LIC MF Low Duration Fund-Regular Plan-Monthly IDCW,101829
LIC MF Low Duration Fund-Regular Plan-Growth,101830
Tata Ethical Fund- Regular Plan - Payout of IDCW Option,101833
DSP Credit Risk Fund - Regular Plan -Growth,101837
DSP Credit Risk Fund - Regular Plan - IDCW - Weekly,101838
DSP Credit Risk Fund - Regular Plan - IDCW,101839
DSP Credit Risk Fund - Regular Plan - IDCW - Daily,101840
Aditya Birla Sun Life Short Term Fund - REGULAR - IDCW,101843
